id;code;description;default_value
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-share-square;fa-share-square css class;fa-share-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-share-square-o;fa-share-square-o css class;fa-share-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-shield;fa-shield css class;fa-shield
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-shopping-cart;fa-shopping-cart css class;fa-shopping-cart
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sign-in;fa-sign-in css class;fa-sign-in
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sign-out;fa-sign-out css class;fa-sign-out
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-signal;fa-signal css class;fa-signal
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sitemap;fa-sitemap css class;fa-sitemap
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-smile-o;fa-smile-o css class;fa-smile-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort;fa-sort css class;fa-sort
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-alpha-asc;fa-sort-alpha-asc css class;fa-sort-alpha-asc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-alpha-desc;fa-sort-alpha-desc css class;fa-sort-alpha-desc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-amount-asc;fa-sort-amount-asc css class;fa-sort-amount-asc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-amount-desc;fa-sort-amount-desc css class;fa-sort-amount-desc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-asc;fa-sort-asc css class;fa-sort-asc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-desc;fa-sort-desc css class;fa-sort-desc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-down;fa-sort-down css class;fa-sort-down
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-numeric-asc;fa-sort-numeric-asc css class;fa-sort-numeric-asc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-numeric-desc;fa-sort-numeric-desc css class;fa-sort-numeric-desc
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sort-up;fa-sort-up css class;fa-sort-up
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-spinner;fa-spinner css class;fa-spinner
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-square;fa-square css class;fa-square
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-square-o;fa-square-o css class;fa-square-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star;fa-star css class;fa-star
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star-half;fa-star-half css class;fa-star-half
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star-half-empty;fa-star-half-empty css class;fa-star-half-empty
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star-half-full;fa-star-half-full css class;fa-star-half-full
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star-half-o;fa-star-half-o css class;fa-star-half-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-star-o;fa-star-o css class;fa-star-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-subscript;fa-subscript css class;fa-subscript
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-suitcase;fa-suitcase css class;fa-suitcase
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-sun-o;fa-sun-o css class;fa-sun-o
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-superscript;fa-superscript css class;fa-superscript
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tablet;fa-tablet css class;fa-tablet
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tachometer;fa-tachometer css class;fa-tachometer
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tag;fa-tag css class;fa-tag
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tags;fa-tags css class;fa-tags
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-tasks;fa-tasks css class;fa-tasks
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-terminal;fa-terminal css class;fa-terminal
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-thumb-tack;fa-thumb-tack css class;fa-thumb-tack
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-thumbs-down;fa-thumbs-down css class;fa-thumbs-down
next value for hibernate_sequence;C_SYSTEM-D_FA.fa-thumbs-o-down;fa-thumbs-o-down css class;fa-thumbs-o-down
